# Locale,  Region, Date,         Description,                           Type,  Notes.
"es-MX", "", "2012-01-01", "Año Nuevo",                               "NF",  ""
"es-MX", "", "2012-02-06", "Día de la Constitución",                  "NV",  ""
"es-MX", "", "2012-03-19", "Natalicio de Benito Juárez",              "NV",  ""
"es-MX", "", "2012-04-05", "Jueves Santo",                            "NRV", ""
"es-MX", "", "2012-04-06", "Viernes Santo",                           "NRV", ""
"es-MX", "", "2012-05-01", "Día del Trabajo",                         "NF",  ""
"es-MX", "", "2012-09-16", "Día de la Independencia",                 "NF",  ""
"es-MX", "", "2012-11-19", "Día de la Revolución",                    "NV",  ""
"es-MX", "", "2012-12-01", "Transmisión del Poder Ejecutivo Federal", "NF",  ""
"es-MX", "", "2012-12-12", "Nuestra Señora de Guadalupe",             "NRF", ""
"es-MX", "", "2012-12-25", "Navidad",                                 "NRF", ""

"es-MX", "", "2013-01-01", "Año Nuevo",                               "NF",  ""
"es-MX", "", "2013-02-04", "Día de la Constitución",                  "NV",  ""
"es-MX", "", "2013-03-18", "Natalicio de Benito Juárez",              "NV",  ""
"es-MX", "", "2013-03-28", "Jueves Santo",                            "NRV", ""
"es-MX", "", "2013-03-29", "Viernes Santo",                           "NRV", ""
"es-MX", "", "2013-05-01", "Día del Trabajo",                         "NF",  ""
"es-MX", "", "2013-09-16", "Día de la Independencia",                 "NF",  ""
"es-MX", "", "2013-11-18", "Día de la Revolución",                    "NV",  ""
"es-MX", "", "2013-12-12", "Nuestra Señora de Guadalupe",             "NRF", ""
"es-MX", "", "2013-12-25", "Navidad",                                 "NRF", ""

"es-MX", "", "2014-01-01", "Año Nuevo",                               "NF",  ""
"es-MX", "", "2014-02-03", "Día de la Constitución",                  "NV",  ""
"es-MX", "", "2014-03-17", "Natalicio de Benito Juárez",              "NV",  ""
"es-MX", "", "2014-04-17", "Jueves Santo",                            "NRV", ""
"es-MX", "", "2014-04-18", "Viernes Santo",                           "NRV", ""
"es-MX", "", "2014-05-01", "Día del Trabajo",                         "NF",  ""
"es-MX", "", "2014-09-16", "Día de la Independencia",                 "NF",  ""
"es-MX", "", "2014-11-17", "Día de la Revolución",                    "NV",  ""
"es-MX", "", "2014-12-12", "Nuestra Señora de Guadalupe",             "NRF", ""
"es-MX", "", "2014-12-25", "Navidad",                                 "NRF", ""

"es-MX", "", "2015-01-01", "Año Nuevo",                               "NF",  ""
"es-MX", "", "2015-02-02", "Día de la Constitución",                  "NV",  ""
"es-MX", "", "2015-03-16", "Natalicio de Benito Juárez",              "NV",  ""
"es-MX", "", "2015-04-02", "Jueves Santo",                            "NRV", ""
"es-MX", "", "2015-04-03", "Viernes Santo",                           "NRV", ""
"es-MX", "", "2015-05-01", "Día del Trabajo",                         "NF",  ""
"es-MX", "", "2015-09-16", "Día de la Independencia",                 "NF",  ""
"es-MX", "", "2015-11-16", "Día de la Revolución",                    "NV",  ""
"es-MX", "", "2015-12-12", "Nuestra Señora de Guadalupe",             "NRF", ""
"es-MX", "", "2015-12-25", "Navidad",                                 "NRF", ""

"es-MX", "", "2016-01-01", "Año Nuevo",                               "NF",  ""
"es-MX", "", "2016-02-01", "Día de la Constitución",                  "NV",  ""
"es-MX", "", "2016-03-14", "Natalicio de Benito Juárez",              "NV",  ""
"es-MX", "", "2016-03-24", "Jueves Santo",                            "NRV", ""
"es-MX", "", "2016-03-25", "Viernes Santo",                           "NRV", ""
"es-MX", "", "2016-05-01", "Día del Trabajo",                         "NF",  ""
"es-MX", "", "2016-09-16", "Día de la Independencia",                 "NF",  ""
"es-MX", "", "2016-11-21", "Día de la Revolución",                    "NV",  ""
"es-MX", "", "2016-12-12", "Nuestra Señora de Guadalupe",             "NRF", ""
"es-MX", "", "2016-12-25", "Navidad",                                 "NRF", ""
