# Locale,  Region, Date,         Description,               Type, Notes.
  "en-NZ", "",     "2011-01-01", "New Year's Day",          "N",  ""
  "en-NZ", "",     "2011-01-02", "Day after New Years Day", "N",  ""
  "en-NZ", "",     "2011-02-06", "Waitangi Day",            "N",  ""
  "en-NZ", "",     "2011-04-22", "Good Friday",             "N",  ""
  "en-NZ", "",     "2011-04-25", "Easter Monday",           "N",  ""
  "en-NZ", "",     "2011-04-25", "ANZAC Day",               "N",  ""
  "en-NZ", "",     "2011-06-06", "Queen's Birthday",        "N",  ""
  "en-NZ", "",     "2011-10-24", "Labour Day",              "N",  ""
  "en-NZ", "",     "2011-12-25", "Christmas Day",           "N",  ""
  "en-NZ", "",     "2011-12-26", "Boxing Day",              "N",  ""
  "en-NZ", "",     "2012-01-01", "New Year's Day",          "N",  ""
  "en-NZ", "",     "2012-01-02", "Day after New Years Day", "N",  ""
  "en-NZ", "",     "2012-02-06", "Waitangi Day",            "N",  ""
  "en-NZ", "",     "2012-04-06", "Good Friday",             "N",  ""
  "en-NZ", "",     "2012-04-09", "Easter Monday",           "N",  ""
  "en-NZ", "",     "2012-04-25", "ANZAC Day",               "N",  ""
  "en-NZ", "",     "2012-06-04", "Queen's Birthday",        "N",  ""
  "en-NZ", "",     "2012-10-22", "Labour Day",              "N",  ""
  "en-NZ", "",     "2012-12-25", "Christmas Day",           "N",  ""
  "en-NZ", "",     "2012-12-26", "Boxing Day",              "N",  ""
  "en-NZ", "",     "2013-01-01", "New Year's Day",          "N",  ""
  "en-NZ", "",     "2013-01-02", "Day after New Years Day", "N",  ""
  "en-NZ", "",     "2013-02-06", "Waitangi Day",            "N",  ""
  "en-NZ", "",     "2013-03-29", "Good Friday",             "N",  ""
  "en-NZ", "",     "2013-04-01", "Easter Monday",           "N",  ""
  "en-NZ", "",     "2013-04-25", "ANZAC Day",               "N",  ""
  "en-NZ", "",     "2013-06-03", "Queen's Birthday",        "N",  ""
  "en-NZ", "",     "2013-10-28", "Labour Day",              "N",  ""
  "en-NZ", "",     "2013-12-25", "Christmas Day",           "N",  ""
  "en-NZ", "",     "2013-12-26", "Boxing Day",              "N",  ""

